IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Oct 9, 2020",IPOF,Social Capital Hedosophia Holdings Corp. VI,10,10.34,0.034,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 9, 2020",LCY,"Landcadia Holdings III, Inc.",10,12.17,0.122,Blank Check / SPAC,Blank Check / SPAC,
"Oct 8, 2020",AZYO,"Aziyo Biologics, Inc.",17,6.795,-0.600,Health Care,Medical Devices,United States
"Oct 8, 2020",PAIC,"Petra Acquisition, Inc.",10,8.32,-0.168,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 8, 2020",FUBO,"FuboTV, Inc.",10,4.455,-0.554,Information Technology,Software,United States
"Oct 7, 2020",EMPW,Empower Ltd.,10,9.8,0.098,Blank Check / SPAC,Blank Check / SPAC,
"Oct 7, 2020",MAAC,Montes Archimedes Acquisition Corp.,10,9.35,0.093,Blank Check / SPAC,Blank Check / SPAC,
"Oct 7, 2020",TPGY,TPG Pace Beneficial Finance Corp.,10,9.91,-0.009,Financial Services,Shell Companies,United States
"Oct 7, 2020",NGAC,NextGen Acquisition Corporation,10,8.83,0.088,Blank Check / SPAC,Blank Check / SPAC,
"Oct 7, 2020",PACE,TPG Pace Tech Opportunities Corp.,10,11.2,0.112,,,
"Oct 7, 2020",SQFT,"Presidio Property Trust, Inc.",5,3.519,-0.296,Real Estate,REIT-Diversified,United States
"Oct 6, 2020",FMAC,FirstMark Horizon Acquisition Corp.,10,9.62,-0.038,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 2, 2020",APSG,Apollo Strategic Growth Capital,10,9.995,-0.001,Financial Services,Shell Companies,United States
"Oct 2, 2020",VYGG,Vy Global Growth,10,9.96,-0.004,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 2, 2020",IMNM,"Immunome, Inc.",12,4.01,-0.666,Health Care,Biotechnology,United States
"Oct 2, 2020",ONCR,"Oncorus, Inc.",15,1.365,-0.909,Health Care,Biotechnology,United States
"Oct 2, 2020",CCCC,"C4 Therapeutics, Inc.",19,9.35,-0.508,Health Care,Biotechnology,United States
"Oct 2, 2020",ASO,"Academy Sports and Outdoors, Inc.",13,39.11,2.008,Consumer Discretionary,Specialty Retail,United States
"Oct 2, 2020",AVAN,Avanti Acquisition Corp.,10,9.91,-0.009,Blank Check / SPAC,Blank Check / SPAC,Cayman Islands
"Oct 2, 2020",IACA,ION Acquisition Corp 1 Ltd.,10,10.54,0.105,Blank Check / SPAC,Blank Check / SPAC,
"Oct 2, 2020",SEAH,Sports Entertainment Acquisition Corp.,10,8.01,-0.199,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 2, 2020",ASAQ,Atlantic Street Acquisition Corp.,10,9.88,-0.012,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 2, 2020",VGAC,VG Acquisition Corp.,10,10.99,0.110,Blank Check / SPAC,Blank Check / SPAC,
"Oct 1, 2020",RCHG,Recharge Acquisition Corp.,10,9.98,-0.002,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 1, 2020",LUNG,Pulmonx Corporation,19,26,0.368,Health Care,Health Care Equipment & Supplies,United States
"Oct 1, 2020",AVO,"Mission Produce, Inc.",12,12.88,0.073,Consumer Defensive,Farm Products,United States
"Oct 1, 2020",AGC,Altimeter Growth Corp.,10,11.01,0.101,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 1, 2020",THRY,"Thryv Holdings, Inc.",10.17,27.12,1.667,Communication Services,Media,United States
"Oct 1, 2020",LXEH,"Lixiang Education Holding Co., Ltd.",9.25,4.73,-0.489,Consumer Defensive,Education & Training Services,United States
"Oct 1, 2020",IMPX,AEA-Bridges Impact Corp.,10,9.93,-0.007,Financial Services,Shell Companies,United States
"Oct 1, 2020",IGAC,IG Acquisition Corp.,10,9.88,-0.012,Blank Check / SPAC,Blank Check / SPAC,United States
"Sep 30, 2020",CLII,Climate Change Crisis Real Impact I Acquisition Corporation,10,14.36,0.144,Blank Check / SPAC,Blank Check / SPAC,
"Sep 30, 2020",YALA,Yalla Group Limited,7.5,4.08,-0.456,Communication Services,Interactive Media & Services,United States
"Sep 30, 2020",CD,Chindata Group Holdings Limited,13.5,4.805,-0.644,Technology,Information Technology Services,China
"Sep 30, 2020",QELL,Qell Acquisition Corp.,10,9.41,-0.059,Blank Check / SPAC,Blank Check / SPAC,
"Sep 30, 2020",FGNA,FG New America Acquisition Corp.,10,9.97,0.100,Blank Check / SPAC,Blank Check / SPAC,
"Sep 30, 2020",ASAN,"Asana, Inc.",21,28.655,0.365,Information Technology,Software,United States
"Sep 30, 2020",PLTR,Palantir Technologies Inc.,7.25,11.935,0.646,Information Technology,Software,United States
"Sep 30, 2020",VSPR,Vesper Healthcare Acquisition Corp.,10,12.49,0.125,Blank Check / SPAC,Blank Check / SPAC,
"Sep 30, 2020",BQ,Boqii Holding Limited,10,0.378,-0.962,Consumer Cyclical,Specialty Retail,United States
"Sep 29, 2020",ORPHY,Orphazyme A/S,11,,,Health Care,Biotechnology,Denmark
"Sep 25, 2020",PRLD,"Prelude Therapeutics, Inc.",19,5.215,-0.725,Health Care,Biotechnology,United States
"Sep 25, 2020",PMVP,"PMV Pharmaceuticals, Inc.",18,16,-0.111,Health Care,Biotechnology,United States
"Sep 25, 2020",FTIV,FinTech Acquisition Corp. IV,10,13.28,0.133,Blank Check / SPAC,Blank Check / SPAC,
"Sep 25, 2020",VIAO,VIA optronics AG,15,5.167,-0.655,Technology,Electronic Components,Germany
"Sep 25, 2020",AMST,"Amesite, Inc.",5,0.608,-0.878,Technology,Software-Application,United States
"Sep 25, 2020",SYTA,"Siyata Mobile, Inc.",7.25,1.05,-0.855,Information Technology,Communications Equipment,Canada
"Sep 25, 2020",GLSI,"Greenwich LifeSciences, Inc.",5.75,16.15,1.809,Health Care,Biotechnology,United States
"Sep 25, 2020",GRAY,"Graybug Vision, Inc.",16,1.1,-0.931,Health Care,Biotechnology,United States
"Sep 25, 2020",VACQ,Vector Acquisition Corporation,10,11.57,0.116,Blank Check / SPAC,Blank Check / SPAC,
"Sep 24, 2020",PDAC,Peridot Acquisition Corp.,10,11.23,0.112,Blank Check / SPAC,Blank Check / SPAC,
"Sep 24, 2020",TSHA,"Taysha Gene Therapies, Inc.",20,4.68,-0.766,Health Care,Biotechnology,United States
"Sep 23, 2020",BSY,"Bentley Systems, Inc.",22,42.13,0.915,Technology,Software-Application,United States
"Sep 23, 2020",VIH,VPC Impact Acquisition Holdings,10,9.36,0.094,Blank Check / SPAC,Blank Check / SPAC,
"Sep 23, 2020",GDRX,"GoodRx Holdings, Inc.",33,15.88,-0.519,Health Care,Health Care Technology,United States
"Sep 23, 2020",CRSR,"Corsair Gaming, Inc.",17,16.085,-0.054,Information Technology,"Technology Hardware, Storage & Peripherals",United States
"Sep 23, 2020",ACTC,ArcLight Clean Transition Corp.,10,18.09,0.181,,,
"Sep 23, 2020",ASPL,Aspirational Consumer Lifestyle Corp.,10,9.93,0.099,Blank Check / SPAC,Blank Check / SPAC,
"Sep 23, 2020",LSF,"Laird Superfood, Inc.",22,2.49,-0.887,Consumer Defensive,Packaged Foods,United States
"Sep 22, 2020",FCAC,Falcon Capital Acquisition Corp.,10,9,0.090,Blank Check / SPAC,Blank Check / SPAC,
"Sep 22, 2020",PMVC,PMV Consumer Acquisition Corp.,10,9.9,-0.010,Blank Check / SPAC,Blank Check / SPAC,United States
"Sep 18, 2020",CMPS,COMPASS Pathways PLC,17,12.58,-0.260,Health Care,Health Care Providers & Services,United States
"Sep 18, 2020",NMMC,North Mountain Merger Corp.,10,9.89,-0.011,Financial Services,Shell Companies,United States
"Sep 18, 2020",U,"Unity Software, Inc.",52,75.85,0.459,Information Technology,Software,United States
"Sep 18, 2020",VTRU,Vitru Limited,16,16.01,0.001,Consumer Defensive,Education & Training Services,United States
"Sep 18, 2020",ATHA,"Athira Pharma, Inc.",17,11.3,-0.335,Health Care,Biotechnology,United States
"Sep 18, 2020",AHAC,Alpha Healthcare Acquisition Corp.,10,10.96,0.110,Blank Check / SPAC,Blank Check / SPAC,
"Sep 17, 2020",SUMO,"Sumo Logic, Inc.",22,9.705,-0.559,Information Technology,Software,United States
